#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	sampling_depth_m	elevation_m	mean_annual_temp_C	total_carbon	total_nitrogen	ph	cn_ratio	ph_category	cn_category	env_feature	env_material	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	cn_category_per_dataset
10156.3B5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	6.81	17.645409950946	Neutral	Low	freshwater wetland	soil	2.4447000000000001	7.3700000000000002E-2	2.518	3.5065622159999998	ug N/g dry soil	0.1427	Low-Wetlands
10156.3C1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.46	26.6382978723404	Neutral	Intermediate	freshwater wetland	soil	0.54179999999999995	1.3362000000000001	1.878	2.371289435	ug N/g dry soil	0.0705	Intermediate-Wetlands
10156.3C2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.3	16.151056112652	Neutral	Low	freshwater wetland	soil	1.1709000000000001	0.34350000000000003	1.514	1.083016961	ug N/g dry soil	0.09374	Low-Wetlands
10156.3C3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.36	11.0890143982181	Neutral	Low	freshwater wetland	soil	1.052	0.34189999999999998	1.394	2.8258872479999999	ug N/g dry soil	0.12571	Low-Wetlands
10156.3S1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.38	23.9844295837908	Neutral	Intermediate	freshwater wetland	soil	0.93759999999999999	1.4654	2.403	3.6492327470000001	ug N/g dry soil	0.10019	Intermediate-Wetlands
10156.3S2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.38	20.1078409346214	Neutral	Intermediate	freshwater wetland	soil	0.82769999999999999	0.96240000000000003	1.79	2.7897447999999998	ug N/g dry soil	0.08902	Intermediate-Wetlands
10156.3S3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.33	16.2876083630801	Neutral	Low	freshwater wetland	soil	0.88060000000000005	0.71630000000000005	1.597	1.9561192199999999	ug N/g dry soil	0.09805	Low-Wetlands
10156.3S4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.73	19.9714693295292	Slightly Basic	Low	freshwater wetland	soil	0.59989999999999999	0.93989999999999996	1.54	2.3264548299999999	ug N/g dry soil	0.07711	Low-Wetlands
10156.3S5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.35	14.724175229854	Neutral	Low	freshwater wetland	soil	0.56589999999999996	0.5232	1.089	1.5379541059999999	ug N/g dry soil	0.07396	Low-Wetlands
10156.3T1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.25	17.7400079670694	Neutral	Low	freshwater wetland	soil	0.6744	0.66120000000000001	1.336	2.882871331	ug N/g dry soil	0.07531	Low-Wetlands
10156.3T2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.32	17.8551000953289	Neutral	Low	freshwater wetland	soil	0.78900000000000003	1.0837000000000001	1.873	4.5591752019999996	ug N/g dry soil	0.1049	Low-Wetlands
10156.3T3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	6.38	10.1623752195707	Slightly Acidic	Low	freshwater wetland	soil	2.3007	7.1499999999999994E-2	2.372	0.65172095299999999	ug N/g dry soil	0.23341	Low-Wetlands
10156.3T4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.28	17.636252296387	Neutral	Low	freshwater wetland	soil	0.86140000000000005	0.86619999999999997	1.728	2.670958841	ug N/g dry soil	0.09798	Low-Wetlands
10156.3T5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.24	11.8230673832162	Neutral	Low	freshwater wetland	soil	1.3724000000000001	0.34339999999999998	1.716	2.4580852879999999	ug N/g dry soil	0.14514	Low-Wetlands
